genome,completeness,contamination,location,length,N50
EHA04747_bin.24.fa.gz,99.88,0.15,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.24.fa.gz,2159588,56340
EHA04815_bin.79.fa.gz,99.87,0.27,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.79.fa.gz,1631356,4433
EHA04823_bin.158.fa.gz,99.83,0.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.158.fa.gz,1573833,2972
EHA04815_bin.172.fa.gz,99.8,2.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.172.fa.gz,917977,29571
EHA04823_bin.71.fa.gz,99.78,0.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.71.fa.gz,1132795,33948
EHA04749_bin.28.fa.gz,99.68,0.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.28.fa.gz,2036769,129568
EHA04744_bin.26.fa.gz,99.67,0.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.26.fa.gz,2517514,50757
EHA04747_bin.37.fa.gz,99.67,0.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.37.fa.gz,1971688,4941
EHA04823_bin.207.fa.gz,99.67,0.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.207.fa.gz,2079323,33801
EHA04823_bin.73.fa.gz,99.64,0.94,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.73.fa.gz,1164055,3178
EHA04823_bin.39.fa.gz,99.63,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.39.fa.gz,2372804,4044
EHA04823_bin.282.fa.gz,99.61,2.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.282.fa.gz,1331669,4063
EHA04749_bin.18.fa.gz,99.6,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.18.fa.gz,2170875,96760
EHA04823_bin.202.fa.gz,99.6,1.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.202.fa.gz,1442104,65239
EHA04815_bin.97.fa.gz,99.54,0.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.97.fa.gz,1820310,58834
EHA04748_bin.7.fa.gz,99.53,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.7.fa.gz,1122789,361144
EHA04823_bin.263.fa.gz,99.52,2.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.263.fa.gz,1809107,5025
EHA04747_bin.16.fa.gz,99.49,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.16.fa.gz,2338835,70087
EHA04749_bin.26.fa.gz,99.46,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.26.fa.gz,2282685,88488
EHA04815_bin.102.fa.gz,99.45,0.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.102.fa.gz,1891158,67712
EHA04823_bin.223.fa.gz,99.44,2.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.223.fa.gz,1139565,50231
EHA04815_bin.170.fa.gz,99.43,0.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.170.fa.gz,833778,9050
EHA04746_bin.18.fa.gz,99.41,0.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04746_bin.18.fa.gz,2714220,84230
EHA04750_bin.36.fa.gz,99.35,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.36.fa.gz,2322313,17205
EHA04815_bin.1.fa.gz,99.35,0.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.1.fa.gz,1183631,27379
EHA04823_bin.61.fa.gz,99.32,4.61,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.61.fa.gz,2835680,12883
EHA04815_bin.93.fa.gz,99.25,1.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.93.fa.gz,1925841,55392
EHA04747_bin.7.fa.gz,99.17,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.7.fa.gz,846666,2891
EHA04823_bin.21.fa.gz,99.14,0.27,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.21.fa.gz,2258619,38654
EHA04750_bin.18.fa.gz,99.13,0.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.18.fa.gz,3803444,140593
EHA04815_bin.90.fa.gz,99.13,0.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.90.fa.gz,783917,5741
EHA04823_bin.19.fa.gz,99.13,1.55,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.19.fa.gz,2412838,63949
EHA04815_bin.10.fa.gz,99.09,0.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.10.fa.gz,1580722,43972
EHA04815_bin.88.fa.gz,98.92,2.9,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.88.fa.gz,2029030,8410
EHA04823_bin.24.fa.gz,98.92,0.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.24.fa.gz,1464645,125846
EHA04815_bin.96.fa.gz,98.87,0.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.96.fa.gz,1579733,64197
EHA04823_bin.302.fa.gz,98.83,1.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.302.fa.gz,1593389,2865
EHA04815_bin.3.fa.gz,98.78,0.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.3.fa.gz,1553796,8744
EHA04815_bin.76.fa.gz,98.76,0.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.76.fa.gz,1581750,26164
EHA04823_bin.83.fa.gz,98.74,0.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.83.fa.gz,2253342,32850
EHA04750_bin.25.fa.gz,98.72,0.97,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.25.fa.gz,1561141,2570
EHA04823_bin.65.fa.gz,98.72,0.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.65.fa.gz,1243576,2320
EHA04823_bin.168.fa.gz,98.7,2.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.168.fa.gz,838052,10117
EHA04748_bin.12.fa.gz,98.65,0.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.12.fa.gz,2279628,24271
EHA04748_bin.17.fa.gz,98.64,0.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.17.fa.gz,1225913,55726
EHA04815_bin.112.fa.gz,98.62,0.58,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.112.fa.gz,2189721,51971
EHA04823_bin.262.fa.gz,98.62,0.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.262.fa.gz,2297732,4382
EHA04750_bin.29.fa.gz,98.59,0.57,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.29.fa.gz,2658434,14639
EHA04823_bin.274.fa.gz,98.55,0.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.274.fa.gz,3982241,60666
EHA04823_bin.275.fa.gz,98.54,2.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.275.fa.gz,1721621,60901
EHA04823_bin.205.fa.gz,98.52,0.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.205.fa.gz,1423901,14603
EHA04823_bin.245.fa.gz,98.47,0.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.245.fa.gz,1260688,24922
EHA04815_bin.83.fa.gz,98.43,0.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.83.fa.gz,2449040,5115
EHA04815_bin.36.fa.gz,98.37,2.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.36.fa.gz,1350808,5571
EHA04815_bin.32.fa.gz,98.36,0.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.32.fa.gz,2252891,27979
EHA04749_bin.45.fa.gz,98.33,0.21,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.45.fa.gz,2585895,29891
EHA04747_bin.30.fa.gz,98.31,0.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.30.fa.gz,2257578,6975
EHA04823_bin.164.fa.gz,98.3,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.164.fa.gz,2259852,52312
EHA04823_bin.160.fa.gz,98.28,0.52,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.160.fa.gz,2475105,63131
EHA04746_bin.20.fa.gz,98.25,0.23,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04746_bin.20.fa.gz,2130919,44344
EHA04823_bin.91.fa.gz,98.23,2.58,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.91.fa.gz,1361710,4228
EHA04823_bin.250.fa.gz,98.18,0.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.250.fa.gz,1886696,66536
EHA04823_bin.60.fa.gz,98.06,0.82,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.60.fa.gz,1639416,59591
EHA04823_bin.118.fa.gz,98.03,0.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.118.fa.gz,2188031,22104
EHA04745_bin.5.fa.gz,97.98,0.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04745_bin.5.fa.gz,2374266,30100
EHA04823_bin.226.fa.gz,97.98,0.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.226.fa.gz,1608976,31584
EHA04823_bin.120.fa.gz,97.96,1.93,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.120.fa.gz,2190203,26234
EHA04823_bin.121.fa.gz,97.89,0.94,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.121.fa.gz,2335228,46179
EHA04823_bin.35.fa.gz,97.87,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.35.fa.gz,1753023,4901
EHA04823_bin.88.fa.gz,97.82,2.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.88.fa.gz,2063241,4532
EHA04743_bin.36.fa.gz,97.76,0.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04743_bin.36.fa.gz,1865795,229987
EHA04815_bin.5.fa.gz,97.76,2.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.5.fa.gz,1991842,23612
EHA04823_bin.57.fa.gz,97.73,0.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.57.fa.gz,2184833,100387
EHA04823_bin.267.fa.gz,97.7,0.74,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.267.fa.gz,1344159,12430
EHA04823_bin.122.fa.gz,97.54,0.53,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.122.fa.gz,2195132,19481
EHA04823_bin.169.fa.gz,97.52,5.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.169.fa.gz,853578,5580
EHA04823_bin.228.fa.gz,97.51,1.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.228.fa.gz,1437554,55774
EHA04823_bin.261.fa.gz,97.49,1.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.261.fa.gz,1861634,40745
EHA04823_bin.152.fa.gz,97.47,1.48,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.152.fa.gz,2293744,5081
EHA04823_bin.204.fa.gz,97.46,0.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.204.fa.gz,1444943,136725
EHA04815_bin.148.fa.gz,97.44,0.48,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.148.fa.gz,2205190,41855
EHA04823_bin.8.fa.gz,97.34,0.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.8.fa.gz,1564359,7156
EHA04815_bin.70.fa.gz,97.32,4.43,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.70.fa.gz,2051016,4247
EHA04823_bin.214.fa.gz,97.32,2.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.214.fa.gz,2206743,81024
EHA04823_bin.82.fa.gz,97.31,3.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.82.fa.gz,2103292,66813
EHA04815_bin.29.fa.gz,97.29,0.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.29.fa.gz,1261606,3456
EHA04815_bin.113.fa.gz,97.23,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.113.fa.gz,2127841,56995
EHA04823_bin.264.fa.gz,97.22,1.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.264.fa.gz,1653379,42077
EHA04823_bin.216.fa.gz,97.21,0.83,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.216.fa.gz,900178,15652
EHA04747_bin.2.fa.gz,97.17,0.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.2.fa.gz,2560591,9019
EHA04823_bin.113.fa.gz,97.15,0.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.113.fa.gz,795957,15522
EHA04823_bin.203.fa.gz,97.15,0.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.203.fa.gz,1448135,49600
EHA04815_bin.9.fa.gz,97.08,3.41,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.9.fa.gz,2525482,18521
EHA04823_bin.53.fa.gz,97.03,1.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.53.fa.gz,1956402,41707
EHA04815_bin.147.fa.gz,96.98,1.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.147.fa.gz,1496791,39629
EHA04823_bin.249.fa.gz,96.96,0.31,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.249.fa.gz,1315244,12074
EHA04823_bin.58.fa.gz,96.94,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.58.fa.gz,1288625,3312
EHA04823_bin.254.fa.gz,96.91,2.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.254.fa.gz,2962250,13297
EHA04823_bin.55.fa.gz,96.91,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.55.fa.gz,2148994,4616
EHA04823_bin.102.fa.gz,96.89,4.83,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.102.fa.gz,1938724,51396
EHA04823_bin.212.fa.gz,96.87,2.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.212.fa.gz,3958042,72539
EHA04823_bin.47.fa.gz,96.82,2.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.47.fa.gz,1658139,2391
EHA04744_bin.6.fa.gz,96.81,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.6.fa.gz,1006515,4065
EHA04823_bin.146.fa.gz,96.81,1.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.146.fa.gz,1968605,7325
EHA04750_bin.22.fa.gz,96.8,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.22.fa.gz,2492337,18583
EHA04823_bin.225.fa.gz,96.8,0.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.225.fa.gz,2444235,13350
EHA04815_bin.211.fa.gz,96.78,0.35,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.211.fa.gz,1434784,2422
EHA04823_bin.208.fa.gz,96.77,3.4,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.208.fa.gz,1735548,54130
EHA04815_bin.56.fa.gz,96.75,0.17,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.56.fa.gz,1743562,4923
EHA04823_bin.271.fa.gz,96.72,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.271.fa.gz,1227948,72816
EHA04748_bin.25.fa.gz,96.7,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.25.fa.gz,1717228,96190
EHA04815_bin.71.fa.gz,96.61,1.69,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.71.fa.gz,879439,2678
EHA04815_bin.146.fa.gz,96.59,0.31,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.146.fa.gz,1459029,33582
EHA04815_bin.11.fa.gz,96.56,4.15,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.11.fa.gz,2111351,81848
EHA04823_bin.206.fa.gz,96.56,0.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.206.fa.gz,2116818,52963
EHA04815_bin.101.fa.gz,96.55,0.34,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.101.fa.gz,2845024,79722
EHA04823_bin.246.fa.gz,96.54,0.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.246.fa.gz,1133243,25313
EHA04823_bin.191.fa.gz,96.52,0.17,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.191.fa.gz,681464,4971
EHA04823_bin.100.fa.gz,96.51,5.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.100.fa.gz,2490491,11460
EHA04823_bin.94.fa.gz,96.49,2.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.94.fa.gz,1748312,3085
EHA04815_bin.15.fa.gz,96.35,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.15.fa.gz,991182,68482
EHA04743_bin.3.fa.gz,96.31,0.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04743_bin.3.fa.gz,1691914,32456
EHA04823_bin.23.fa.gz,96.31,0.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.23.fa.gz,1558838,13536
EHA04823_bin.213.fa.gz,96.3,3.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.213.fa.gz,2140772,28472
EHA04815_bin.119.fa.gz,96.17,2.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.119.fa.gz,1554541,15392
EHA04823_bin.27.fa.gz,96.17,0.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.27.fa.gz,1231028,5120
EHA04815_bin.118.fa.gz,96.1,0.53,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.118.fa.gz,2981572,36188
EHA04744_bin.40.fa.gz,96.03,0.31,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.40.fa.gz,2668425,6501
EHA04815_bin.121.fa.gz,95.92,1.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.121.fa.gz,2991164,34853
EHA04815_bin.85.fa.gz,95.89,0.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.85.fa.gz,1257731,3181
EHA04823_bin.63.fa.gz,95.87,0.96,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.63.fa.gz,1602498,6519
EHA04815_bin.114.fa.gz,95.84,1.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.114.fa.gz,737240,45820
EHA04823_bin.123.fa.gz,95.81,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.123.fa.gz,1195216,2728
EHA04823_bin.252.fa.gz,95.79,1.94,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.252.fa.gz,2803949,43191
EHA04823_bin.109.fa.gz,95.75,2.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.109.fa.gz,1550222,12426
EHA04823_bin.111.fa.gz,95.75,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.111.fa.gz,2277256,23365
EHA04815_bin.120.fa.gz,95.69,0.95,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.120.fa.gz,574498,31098
EHA04815_bin.133.fa.gz,95.69,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.133.fa.gz,1065795,78097
EHA04823_bin.186.fa.gz,95.65,1.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.186.fa.gz,1020199,69653
EHA04823_bin.42.fa.gz,95.65,0.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.42.fa.gz,901222,2529
EHA04823_bin.278.fa.gz,95.59,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.278.fa.gz,2634295,4881
EHA04823_bin.253.fa.gz,95.56,0.57,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.253.fa.gz,1890105,95930
EHA04823_bin.259.fa.gz,95.53,0.53,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.259.fa.gz,1881871,12656
EHA04815_bin.24.fa.gz,95.5,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.24.fa.gz,1594584,32101
EHA04815_bin.115.fa.gz,95.48,1.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.115.fa.gz,2854413,76021
EHA04823_bin.13.fa.gz,95.47,0.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.13.fa.gz,1646902,24213
EHA04815_bin.12.fa.gz,95.42,0.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.12.fa.gz,2207861,25235
EHA04815_bin.78.fa.gz,95.42,0.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.78.fa.gz,1371855,3370
EHA04823_bin.196.fa.gz,95.34,6.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.196.fa.gz,1691366,3561
EHA04823_bin.276.fa.gz,95.31,1.55,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.276.fa.gz,1239693,23107
EHA04823_bin.40.fa.gz,95.16,0.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.40.fa.gz,1964457,8652
EHA04815_bin.40.fa.gz,95.12,0.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.40.fa.gz,1245979,3585
EHA04823_bin.119.fa.gz,95.0,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.119.fa.gz,1876451,3343
EHA04823_bin.20.fa.gz,94.97,1.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.20.fa.gz,2108652,50581
EHA04815_bin.16.fa.gz,94.94,2.85,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.16.fa.gz,2524180,6305
EHA04823_bin.130.fa.gz,94.93,0.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.130.fa.gz,2137092,14734
EHA04823_bin.195.fa.gz,94.91,2.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.195.fa.gz,804424,3384
EHA04815_bin.58.fa.gz,94.89,0.93,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.58.fa.gz,1729739,44587
