Genome	B2_1_23_RUNR Read Count	B2_1_23_RUNR Covered Fraction	B2_1_23_RUNR Length	B120_23_EFNP_TC Read Count	B120_23_EFNP_TC Covered Fraction	B120_23_EFNP_TC Length	EHI02809 Read Count	EHI02809 Covered Fraction	EHI02809 Length	EHI01176 Read Count	EHI01176 Covered Fraction	EHI01176 Length	B362F_22_EFNP_WH Read Count	B362F_22_EFNP_WH Covered Fraction	B362F_22_EFNP_WH Length	B18F_22_EFNP_N1 Read Count	B18F_22_EFNP_N1 Covered Fraction	B18F_22_EFNP_N1 Length	EHI01174 Read Count	EHI01174 Covered Fraction	EHI01174 Length	EHI02816 Read Count	EHI02816 Covered Fraction	EHI02816 Length	B357_23_EFNP_TE Read Count	B357_23_EFNP_TE Covered Fraction	B357_23_EFNP_TE Length	B111F_22_EFNP_N1 Read Count	B111F_22_EFNP_N1 Covered Fraction	B111F_22_EFNP_N1 Length	B31_23_EFNP_N31 Read Count	B31_23_EFNP_N31 Covered Fraction	B31_23_EFNP_N31 Length	B407_23_EFNP_DW Read Count	B407_23_EFNP_DW Covered Fraction	B407_23_EFNP_DW Length	B201_23_EFNP_BB Read Count	B201_23_EFNP_BB Covered Fraction	B201_23_EFNP_BB Length	EHI02800 Read Count	EHI02800 Covered Fraction	EHI02800 Length	B33_23_RUNR Read Count	B33_23_RUNR Covered Fraction	B33_23_RUNR Length	EHI02786 Read Count	EHI02786 Covered Fraction	EHI02786 Length	B462_23_EFNP_CV Read Count	B462_23_EFNP_CV Covered Fraction	B462_23_EFNP_CV Length	B218_23_EFNP_N96 Read Count	B218_23_EFNP_N96 Covered Fraction	B218_23_EFNP_N96 Length	B246F_22_EFNP_N1 Read Count	B246F_22_EFNP_N1 Covered Fraction	B246F_22_EFNP_N1 Length	B184F_22_EFNP_BB Read Count	B184F_22_EFNP_BB Covered Fraction	B184F_22_EFNP_BB Length	B109_23_EFNP_N1 Read Count	B109_23_EFNP_N1 Covered Fraction	B109_23_EFNP_N1 Length	EHI01178 Read Count	EHI01178 Covered Fraction	EHI01178 Length	B163F_22_EFNP_N1 Read Count	B163F_22_EFNP_N1 Covered Fraction	B163F_22_EFNP_N1 Length	EHI02814 Read Count	EHI02814 Covered Fraction	EHI02814 Length	B39_23_RUNR Read Count	B39_23_RUNR Covered Fraction	B39_23_RUNR Length	B382_23_EFNP_CC Read Count	B382_23_EFNP_CC Covered Fraction	B382_23_EFNP_CC Length	B11_23_RUNR Read Count	B11_23_RUNR Covered Fraction	B11_23_RUNR Length	B63_23_RUNR Read Count	B63_23_RUNR Covered Fraction	B63_23_RUNR Length	FS1_1_23_RUNR Read Count	FS1_1_23_RUNR Covered Fraction	FS1_1_23_RUNR Length	B441_23_EFNP_RE Read Count	B441_23_EFNP_RE Covered Fraction	B441_23_EFNP_RE Length	EHI01177 Read Count	EHI01177 Covered Fraction	EHI01177 Length	No_69_road_23_EFNP_N69 Read Count	No_69_road_23_EFNP_N69 Covered Fraction	No_69_road_23_EFNP_N69 Length	B461F_22_EFNP_BB Read Count	B461F_22_EFNP_BB Covered Fraction	B461F_22_EFNP_BB Length	B19_1_23_RUNR Read Count	B19_1_23_RUNR Covered Fraction	B19_1_23_RUNR Length	B19_2_23_RUNR Read Count	B19_2_23_RUNR Covered Fraction	B19_2_23_RUNR Length	B466F_22_EFNP_N1 Read Count	B466F_22_EFNP_N1 Covered Fraction	B466F_22_EFNP_N1 Length	B363_23_EFNP_WH Read Count	B363_23_EFNP_WH Covered Fraction	B363_23_EFNP_WH Length	EHI01179 Read Count	EHI01179 Covered Fraction	EHI01179 Length	EHI02781 Read Count	EHI02781 Covered Fraction	EHI02781 Length	EHI01175 Read Count	EHI01175 Covered Fraction	EHI01175 Length	B6_23_RUNR Read Count	B6_23_RUNR Covered Fraction	B6_23_RUNR Length	FS11F_22_EFNP_N1 Read Count	FS11F_22_EFNP_N1 Covered Fraction	FS11F_22_EFNP_N1 Length	EHI02805 Read Count	EHI02805 Covered Fraction	EHI02805 Length	B361_23_EFNP_N88 Read Count	B361_23_EFNP_N88 Covered Fraction	B361_23_EFNP_N88 Length	B478_23_EFNP_NB Read Count	B478_23_EFNP_NB Covered Fraction	B478_23_EFNP_NB Length	B83F_22_EFNP_WH Read Count	B83F_22_EFNP_WH Covered Fraction	B83F_22_EFNP_WH Length	EHI02790 Read Count	EHI02790 Covered Fraction	EHI02790 Length	B369F_22_EFNP_CV Read Count	B369F_22_EFNP_CV Covered Fraction	B369F_22_EFNP_CV Length	B250F_22_EFNP_CV Read Count	B250F_22_EFNP_CV Covered Fraction	B250F_22_EFNP_CV Length	B29F_22_EFNP_BB Read Count	B29F_22_EFNP_BB Covered Fraction	B29F_22_EFNP_BB Length	B523F_22_EFNP_DW Read Count	B523F_22_EFNP_DW Covered Fraction	B523F_22_EFNP_DW Length	B220_23_EFNP_FF Read Count	B220_23_EFNP_FF Covered Fraction	B220_23_EFNP_FF Length	B458_23_EFNP_N1 Read Count	B458_23_EFNP_N1 Covered Fraction	B458_23_EFNP_N1 Length	EHI01180 Read Count	EHI01180 Covered Fraction	EHI01180 Length	B534F_22_EFNP_CC Read Count	B534F_22_EFNP_CC Covered Fraction	B534F_22_EFNP_CC Length	B328_23_EFNP_CC Read Count	B328_23_EFNP_CC Covered Fraction	B328_23_EFNP_CC Length	EHI01172 Read Count	EHI01172 Covered Fraction	EHI01172 Length
EHA04823_bin.116	79	0.0030578119	1978539	616	0.018473733	1978539	938	0.0043981946	1978539	207067	0.99038076	1978539	4327	0.053906444	1978539	1743	0.023870138	1978539	201123	0.98893327	1978539	1048	0.0041505373	1978539	766	0.022358922	1978539	1359	0.03360763	1978539	1782	0.03962469	1978539	969	0.027430847	1978539	14512	0.104526624	1978539	852	0.004311262	1978539	727	0.012450096	1978539	861	0.0041394182	1978539	2164	0.036745295	1978539	5816	0.06858849	1978539	2998	0.039528158	1978539	1603	0.028876863	1978539	2841	0.052999713	1978539	366301	0.9927689	1978539	2227	0.029008273	1978539	1031	0.0045028175	1978539	1207	0.015441697	1978539	843	0.023904508	1978539	380	0.006802494	1978539	300	0.010390495	1978539	284	0.008339487	1978539	2864	0.048725855	1978539	226988	0.9889853	1978539	526	0.016190734	1978539	2644	0.04024889	1978539	1829	0.02613191	1978539	71	0.0026282019	1978539	4690	0.06408921	1978539	1694	0.033186607	1978539	255649	0.9953921	1978539	672	0.00444621	1978539	11574	0.2172037	1978539	1784	0.026572637	1978539	1251	0.02678896	1978539	788	0.004598848	1978539	771	0.02229827	1978539	57	0.002103067	1978539	7385	0.03412063	1978539	690	0.003957971	1978539	817	0.020982655	1978539	15399	0.11091012	1978539	2384	0.038311098	1978539	6018	0.06604065	1978539	386	0.0089768255	1978539	1298	0.03191092	1978539	117057	0.9752863	1978539	1774	0.038461715	1978539	983	0.02569118	1978539	233768	0.9895165	1978539
EHA04823_bin.117	28	0.0014607736	1687462	111	0.001639148	1687462	31	0.0011378034	1687462	130315	0.99284786	1687462	91	0.0016308515	1687462	44	0.0015229973	1687462	212757	0.99779433	1687462	33	0.0016444814	1687462	41	0.0010672833	1687462	82	0.0014536624	1687462	66	0.0015887765	1687462	13	0.0009801702	1687462	177	0.0023194596	1687462	17	0.0009938001	1687462	251	0.0015585537	1687462	34	0.0018513009	1687462	91	0.0015129229	1687462	85	0.0022655325	1687462	105	0.0012118792	1687462	102	0.0015514423	1687462	117	0.0012563246	1687462	1229	0.010748686	1687462	250	0.002738432	1687462	43	0.0017351502	1687462	102	0.0020924916	1687462	159	0.0027366541	1687462	56	0.0012729176	1687462	22	0.0003395632	1687462	15	0.00040356466	1687462	115	0.002004786	1687462	179720	0.99383986	1687462	60	0.0014684775	1687462	48	0.0014536624	1687462	83	0.0019235988	1687462	2	0.00009363174	1687462	85	0.0013268447	1687462	23	0.0006317179	1687462	102246	0.9837069	1687462	28	0.0013624011	1687462	162679	0.9835208	1687462	113	0.0012930662	1687462	52	0.0014370694	1687462	35	0.0015484793	1687462	114	0.0014696628	1687462	4	0.00008177962	1687462	234	0.0030228829	1687462	27	0.0012717324	1687462	175	0.002326571	1687462	284	0.0026027253	1687462	68	0.0012515837	1687462	120	0.0011455073	1687462	9	0.00052327104	1687462	44	0.0013351411	1687462	212280	0.99150974	1687462	86	0.0018513009	1687462	30	0.00075794297	1687462	81734	0.97249067	1687462
EHA04823_bin.118	412	0.0048203156	2188031	1308	0.012427612	2188031	179	0.006346802	2188031	96368	0.9481383	2188031	10656	0.048955888	2188031	12668	0.05363498	2188031	948	0.014761674	2188031	215	0.006686377	2188031	1054	0.0096040685	2188031	2139	0.016801408	2188031	6218	0.034685068	2188031	937	0.009344474	2188031	18364	0.072048336	2188031	152	0.0054012034	2188031	874	0.006974307	2188031	142	0.0041078026	2188031	2938	0.021656914	2188031	15960	0.058081444	2188031	28808	0.08873549	2188031	4601	0.030005516	2188031	5249	0.032358773	2188031	85750	0.9431493	2188031	11222	0.052933894	2188031	238	0.008075297	2188031	932	0.009302428	2188031	1425	0.01384304	2188031	1038	0.009870975	2188031	902	0.008418527	2188031	1037	0.010349488	2188031	8620	0.03826911	2188031	192597	0.9936756	2188031	2630	0.021082425	2188031	4146	0.025643604	2188031	3928	0.02600603	2188031	23	0.0007650714	2188031	2848	0.018696718	2188031	9112	0.04337827	2188031	3157	0.016991075	2188031	110	0.0041324827	2188031	1114	0.015162948	2188031	739	0.008350887	2188031	10174	0.044664815	2188031	232	0.008399333	2188031	1296	0.012693604	2188031	80	0.0014725568	2188031	11053	0.0487845	2188031	140	0.0044350377	2188031	8701	0.042584404	2188031	100960	0.15881036	2188031	5685	0.03267915	2188031	23052	0.07468084	2188031	1620	0.012659327	2188031	3348	0.025547627	2188031	81373	0.9153152	2188031	6343	0.032949258	2188031	1378	0.012600827	2188031	50071	0.8367084	2188031
EHA04823_bin.119	7	0.0001705347	1876451	2	0.00016094212	1876451	47	0.0014596704	1876451	6348	0.22578155	1876451	279	0.0023411217	1876451	37	0.00051053823	1876451	7903	0.30534184	1876451	71	0.0015460036	1876451	42	0.00034053647	1876451	33	0.0006432356	1876451	35	0.0006746779	1876451	22	0.0005830155	1876451	97	0.001017879	1876451	51	0.0014985737	1876451	95	0.00061765534	1876451	43	0.0012918003	1876451	91	0.0017090774	1876451	947	0.003450663	1876451	257	0.00092781533	1876451	23	0.0005990031	1876451	21	0.00079351926	1876451	14306	0.47494233	1876451	20	0.00034586567	1876451	53	0.001759172	1876451	46	0.00034320107	1876451	12	0.0004481865	1876451	12	0.00040182238	1876451	19	0.00040288822	1876451	20	0.00028884315	1876451	48	0.0009944304	1876451	22802	0.61401814	1876451	7	0.00040182238	1876451	20	0.00076527445	1876451	83	0.0005164004	1876451	2	0.000036771544	1876451	8	0.0001300327	1876451	49	0.0004199417	1876451	2294	0.08962397	1876451	25	0.0011079425	1876451	7050	0.25015202	1876451	812	0.0019568857	1876451	73	0.0005073407	1876451	33	0.0012054672	1876451	7	0.00015881044	1876451	2	0.00003357402	1876451	67	0.00053825014	1876451	32	0.0005958056	1876451	34	0.00062778086	1876451	765	0.0030909413	1876451	35	0.00083082373	1876451	105	0.0010972841	1876451	0	0	1876451	14	0.00043965975	1876451	14347	0.43163025	1876451	89	0.0014244976	1876451	17	0.0003666496	1876451	47628	0.86844903	1876451
EHA04823_bin.120	1396	0.017883275	2190203	5067	0.053917833	2190203	924	0.010132851	2190203	55114	0.8454367	2190203	7636	0.07211569	2190203	14075	0.11104906	2190203	34256	0.72599846	2190203	998	0.011372462	2190203	1480	0.025268434	2190203	2932	0.04553231	2190203	5696	0.06480678	2190203	2178	0.02972738	2190203	16706	0.07560532	2190203	867	0.009770784	2190203	28741	0.032610677	2190203	984	0.010383056	2190203	2603	0.022142239	2190203	13345	0.08129155	2190203	7472	0.048090976	2190203	8981	0.077196494	2190203	1654	0.01670667	2190203	44901	0.80522037	2190203	11636	0.099003606	2190203	1141	0.010977522	2190203	7621	0.05895207	2190203	3139	0.03647379	2190203	3239	0.034983058	2190203	1290	0.022007093	2190203	1529	0.022200681	2190203	5364	0.04621809	2190203	37854	0.7350373	2190203	11540	0.07815805	2190203	4547	0.047900125	2190203	9867	0.06721249	2190203	3873	0.020912673	2190203	6165	0.03371377	2190203	4766	0.04446848	2190203	14828	0.3553319	2190203	771	0.0093128355	2190203	3783	0.10313519	2190203	6289	0.031363305	2190203	5533	0.045137826	2190203	840	0.01004747	2190203	4378	0.04385895	2190203	199	0.0054857926	2190203	11474	0.07429996	2190203	830	0.009195951	2190203	14040	0.08655544	2190203	42715	0.12160836	2190203	5039	0.054137904	2190203	4622	0.042006608	2190203	2325	0.023893218	2190203	3920	0.04841743	2190203	33899	0.6718834	2190203	3442	0.044470765	2190203	4561	0.03595055	2190203	13609	0.37450135	2190203
EHA04823_bin.121	2143	0.058661938	2335228	1280	0.014450409	2335228	1838	0.039968688	2335228	23434	0.4948395	2335228	12128	0.19485977	2335228	23421	0.30790526	2335228	328666	0.9941261	2335228	2929	0.051457074	2335228	3624	0.0982281	2335228	7162	0.17498676	2335228	11373	0.2147302	2335228	4844	0.13502836	2335228	43783	0.39146712	2335228	1946	0.03997083	2335228	13540	0.17814791	2335228	2352	0.045251258	2335228	17495	0.29652736	2335228	18386	0.17040692	2335228	26335	0.36460423	2335228	13943	0.27359042	2335228	7825	0.12522803	2335228	2718	0.031124156	2335228	21414	0.28101838	2335228	2670	0.048035137	2335228	11103	0.21333206	2335228	2670	0.036531337	2335228	10696	0.1985759	2335228	4310	0.121418126	2335228	3711	0.08781027	2335228	10536	0.22057632	2335228	46034	0.74675107	2335228	2489	0.040474422	2335228	7531	0.15229177	2335228	11454	0.20487079	2335228	664	0.013823918	2335228	3356	0.05419985	2335228	12442	0.2418676	2335228	62025	0.83339316	2335228	1572	0.03739849	2335228	8057	0.06642692	2335228	23251	0.31635627	2335228	12798	0.24360405	2335228	1780	0.03864248	2335228	8095	0.1745898	2335228	399	0.008931033	2335228	36577	0.37915057	2335228	1882	0.04253889	2335228	4609	0.07555622	2335228	124771	0.55470127	2335228	27496	0.3744264	2335228	32239	0.35789952	2335228	2797	0.04542554	2335228	7499	0.14645764	2335228	24652	0.4767954	2335228	10556	0.23841527	2335228	5321	0.11215093	2335228	3754	0.0949569	2335228
EHA04823_bin.122	412	0.012716775	2195132	6353	0.07254233	2195132	606	0.0063686376	2195132	10265	0.2642684	2195132	13128	0.10189137	2195132	6557	0.06908696	2195132	561	0.004544146	2195132	645	0.0059354063	2195132	1088	0.036632422	2195132	8127	0.090132624	2195132	5752	0.07385159	2195132	328	0.011789724	2195132	13667	0.09326683	2195132	613	0.0060953056	2195132	5724	0.05409424	2195132	631	0.007186356	2195132	13007	0.11086213	2195132	33135	0.10863493	2195132	15043	0.116462246	2195132	4741	0.07631113	2195132	3208	0.05666083	2195132	1575	0.013813748	2195132	4380	0.06696454	2195132	708	0.006369549	2195132	1668	0.024926065	2195132	1918	0.045374494	2195132	1389	0.029950818	2195132	1345	0.034817953	2195132	1407	0.032637674	2195132	1044	0.03543614	2195132	39970	0.75219715	2195132	1712	0.036626045	2195132	10547	0.08146936	2195132	4437	0.060633257	2195132	313	0.01046953	2195132	12915	0.07750377	2195132	7547	0.08015281	2195132	248153	0.99674416	2195132	444	0.005022933	2195132	2082	0.02233123	2195132	11865	0.072804734	2195132	10845	0.08438262	2195132	574	0.0068310243	2195132	2634	0.05521308	2195132	68	0.0016386259	2195132	10534	0.07360788	2195132	494	0.006125372	2195132	4445	0.0646485	2195132	115835	0.1738228	2195132	7777	0.09488359	2195132	11288	0.07574761	2195132	922	0.025085963	2195132	3746	0.08114455	2195132	31221	0.6249624	2195132	8848	0.078524664	2195132	6004	0.06931656	2195132	5069	0.17450887	2195132
EHA04823_bin.123	0	0	1195216	1	0.00012633699	1195216	2910	0.19731832	1195216	4770	0.26577622	1195216	6	0.000517898	1195216	157	0.01140045	1195216	15280	0.67105275	1195216	3301	0.21227545	1195216	30	0.0019494385	1195216	0	0	1195216	96	0.006958575	1195216	3	0.00037901098	1195216	34	0.0021326689	1195216	2324	0.15962805	1195216	8	0.0004969813	1195216	3060	0.20745037	1195216	181	0.014763022	1195216	295	0.020827198	1195216	442	0.02962226	1195216	120	0.010398121	1195216	148	0.010900958	1195216	1281	0.08640781	1195216	197	0.016424647	1195216	2945	0.19272834	1195216	14	0.00067853846	1195216	15	0.0010859962	1195216	5	0.00026522402	1195216	0	0	1195216	2	0.000073626856	1195216	94	0.008178438	1195216	22178	0.75819933	1195216	29	0.0017411079	1195216	86	0.0066038272	1195216	11	0.0003606043	1195216	0	0	1195216	398	0.023953829	1195216	179	0.014727045	1195216	8099	0.3952248	1195216	2094	0.15442899	1195216	771	0.04850253	1195216	10	0.000502838	1195216	130	0.009863489	1195216	2141	0.15282594	1195216	59	0.0048878193	1195216	19	0.0012441266	1195216	554	0.029895015	1195216	2010	0.14548583	1195216	13	0.00081240543	1195216	39	0.0015896708	1195216	195	0.013099724	1195216	11	0.0004183344	1195216	6	0.00012382699	1195216	75	0.006483347	1195216	4965	0.26821762	1195216	1	0.00012633699	1195216	8	0.00049028796	1195216	1121	0.07022329	1195216
EHA04823_bin.125	982	0.030426893	1694685	2334	0.051429026	1694685	560	0.02848612	1694685	10029	0.36300316	1694685	5419	0.08739264	1694685	14031	0.13886239	1694685	4723	0.20853963	1694685	453	0.022739919	1694685	1065	0.03292116	1694685	867	0.029240832	1694685	6876	0.09888386	1694685	715	0.026773117	1694685	5088	0.07654579	1694685	521	0.02679318	1694685	984	0.021624668	1694685	439	0.024153162	1694685	1235	0.039124675	1694685	13663	0.12827457	1694685	1251	0.032480963	1694685	12315	0.12498547	1694685	266	0.010659798	1694685	43907	0.8785709	1694685	8646	0.11365062	1694685	649	0.031762246	1694685	6312	0.08289328	1694685	1229	0.037343815	1694685	2824	0.055176627	1694685	348	0.012840144	1694685	559	0.017316492	1694685	708	0.022619544	1694685	15053	0.50482595	1694685	8724	0.099054985	1694685	1548	0.040805813	1694685	10635	0.11322222	1694685	215	0.007668682	1694685	723	0.015736848	1694685	3003	0.064205445	1694685	87745	0.972864	1694685	344	0.020083968	1694685	2752	0.12225281	1694685	1216	0.028095488	1694685	3830	0.06315746	1694685	359	0.01899173	1694685	2020	0.048620835	1694685	45	0.0014032106	1694685	1492	0.029675132	1694685	358	0.018315498	1694685	9728	0.11545332	1694685	13985	0.13421138	1694685	3482	0.06491413	1694685	450	0.011971546	1694685	1249	0.030380867	1694685	1067	0.033014394	1694685	15713	0.49646926	1694685	583	0.020334752	1694685	659	0.017840484	1694685	17192	0.5650224	1694685
EHA04823_bin.126	98	0.0019212327	3451430	168	0.0037567038	3451430	16	0.0002268625	3451430	31	0.00057860074	3451430	1135	0.015592378	3451430	282	0.0058813305	3451430	95663	0.89467263	3451430	11	0.00019093535	3451430	306	0.005953185	3451430	1068	0.01584155	3451430	221	0.005493375	3451430	573	0.0097064115	3451430	5223	0.047627214	3451430	10	0.00025670519	3451430	28	0.00020745024	3451430	14	0.00032044688	3451430	1214	0.019203635	3451430	9625	0.069074556	3451430	1158	0.016328594	3451430	538	0.00945666	3451430	1151	0.017887369	3451430	170	0.001855173	3451430	603	0.010559391	3451430	16	0.00025235917	3451430	11	0.00015211086	3451430	278	0.0067105517	3451430	9	0.00014602643	3451430	330	0.0063643185	3451430	2	0.000018253304	3451430	1231	0.017331947	3451430	70611	0.7955546	3451430	271	0.0055999975	3451430	1338	0.018313859	3451430	20	0.00030943696	3451430	0	0	3451430	3585	0.032576352	3451430	2504	0.030757686	3451430	106072	0.8943893	3451430	4	0.00015384928	3451430	24985	0.43692353	3451430	11	0.00015703635	3451430	265	0.004888988	3451430	8	0.00014979299	3451430	777	0.012158728	3451430	60	0.0009755377	3451430	1448	0.015022179	3451430	11	0.00025554624	3451430	32	0.00026800486	3451430	15966	0.09918034	3451430	956	0.012975202	3451430	1500	0.019513652	3451430	623	0.0077938708	3451430	968	0.015628016	3451430	14822	0.27459458	3451430	2358	0.028188607	3451430	702	0.011057446	3451430	5378	0.12183877	3451430
EHA04823_bin.127	14	0.00047703594	2781761	59	0.0012136197	2781761	216	0.0025958377	2781761	102464	0.91471374	2781761	7	0.00024408998	2781761	108	0.0007685779	2781761	126230	0.95794857	2781761	309	0.003118528	2781761	43	0.00058667874	2781761	48	0.00068841287	2781761	2	0.000022288039	2781761	82	0.0011108072	2781761	21	0.00028291432	2781761	248	0.0028144042	2781761	11	0.00014666968	2781761	305	0.003468666	2781761	21	0.00044719875	2781761	1800	0.0054163532	2781761	83	0.0013135565	2781761	68	0.0010076351	2781761	7	0.00021712865	2781761	17100	0.3811262	2781761	107	0.0013239814	2781761	305	0.0029488516	2781761	9	0.00024480897	2781761	67	0.0011000226	2781761	24	0.00050399726	2781761	19	0.00047092472	2781761	247	0.0017884355	2781761	11	0.0004130477	2781761	125981	0.95283884	2781761	29	0.00072076643	2781761	24	0.00045402895	2781761	75	0.00096881075	2781761	6	0.00015457835	2781761	5	0.00011036175	2781761	151	0.0015687904	2781761	259715	0.980388	2781761	158	0.0017514086	2781761	18044	0.39564362	2781761	1124	0.0037192267	2781761	147	0.0018639272	2781761	267	0.0025951187	2781761	157	0.0018143184	2781761	0	0	2781761	60	0.00093394076	2781761	217	0.0019203663	2781761	10	0.00015206196	2781761	206	0.0017790889	2781761	66	0.0011438797	2781761	28	0.00046014017	2781761	86	0.0012197309	2781761	428	0.003657755	2781761	35898	0.4818196	2781761	13	0.00041879946	2781761	11	0.00021533122	2781761	127689	0.96100205	2781761
EHA04823_bin.128	0	0	1889995	0	0	1889995	23	0.0003809534	1889995	1	0.00007936529	1889995	2	0.000079894395	1889995	0	0	1889995	7	0.00028783144	1889995	35	0.00028095313	1889995	0	0	1889995	0	0	1889995	0	0	1889995	0	0	1889995	4	0.0000550266	1889995	22	0.00056084804	1889995	0	0	1889995	28	0.0005857158	1889995	2	0.00003280432	1889995	2	0.000034920726	1889995	0	0	1889995	0	0	1889995	0	0	1889995	3	0.00014021201	1889995	0	0	1889995	37	0.00046349328	1889995	7	0.00007830709	1889995	1	0.00007830709	1889995	0	0	1889995	0	0	1889995	0	0	1889995	0	0	1889995	4	0.00003862444	1889995	2	0.00013174638	1889995	0	0	1889995	0	0	1889995	0	0	1889995	0	0	1889995	0	0	1889995	41544	0.82779956	1889995	17	0.00018254017	1889995	70483	0.9589316	1889995	0	0	1889995	0	0	1889995	20	0.00053492206	1889995	0	0	1889995	2	0.00003809534	1889995	0	0	1889995	12	0.0002497361	1889995	0	0	1889995	2	0.000037037134	1889995	1	0.000079894395	1889995	0	0	1889995	0	0	1889995	2	0.000056613906	1889995	4	0.00005820121	1889995	0	0	1889995	0	0	1889995	4	0.000058730315	1889995
EHA04823_bin.130	775	0.011733234	2137092	1019	0.010862424	2137092	513	0.0136629585	2137092	27592	0.5558773	2137092	4311	0.02300603	2137092	2482	0.025305415	2137092	102850	0.96037513	2137092	550	0.013859956	2137092	2395	0.024795376	2137092	5934	0.03658242	2137092	3683	0.029510662	2137092	2227	0.012726639	2137092	11911	0.032363605	2137092	507	0.013855744	2137092	7389	0.026824301	2137092	583	0.0163175	2137092	4519	0.024235737	2137092	22637	0.037907586	2137092	2513	0.029479312	2137092	4462	0.03896931	2137092	7862	0.03467188	2137092	4887	0.07544036	2137092	5571	0.03653329	2137092	693	0.01605593	2137092	9349	0.029734798	2137092	7111	0.031715058	2137092	1541	0.009352429	2137092	2612	0.02377062	2137092	1234	0.0068625966	2137092	18832	0.038072295	2137092	61096	0.8111569	2137092	5338	0.013056995	2137092	1613	0.020285977	2137092	4587	0.012053295	2137092	645	0.0033016829	2137092	4175	0.022064095	2137092	4077	0.025907168	2137092	5016	0.07188413	2137092	445	0.0135427015	2137092	2742	0.04984671	2137092	7059	0.026110714	2137092	1625	0.022558691	2137092	590	0.015529514	2137092	4555	0.03004597	2137092	282	0.0036825743	2137092	12108	0.044684086	2137092	476	0.01318661	2137092	1545	0.0169988	2137092	43911	0.041350584	2137092	5275	0.045229685	2137092	6265	0.024335405	2137092	1206	0.0113181835	2137092	1641	0.023809925	2137092	7811	0.20414376	2137092	7471	0.0419514	2137092	3431	0.0282365	2137092	47799	0.7553952	2137092
EHA04823_bin.131	14	0.0005609229	1329951	43	0.00052107184	1329951	2346	0.04695737	1329951	123	0.0023963288	1329951	108	0.0018805204	1329951	119	0.0016414139	1329951	4005	0.2296859	1329951	5734	0.06823033	1329951	11	0.0007007777	1329951	40	0.0009383804	1329951	41	0.0010729718	1329951	8	0.00030753014	1329951	269	0.0021519589	1329951	2624	0.048746157	1329951	48	0.0010173307	1329951	4021	0.07133195	1329951	40	0.00096319336	1329951	188	0.0016211123	1329951	107	0.0014519332	1329951	69	0.0013143341	1329951	47	0.0014790018	1329951	23959	0.7889546	1329951	123	0.0013519295	1329951	2934	0.049584534	1329951	80	0.0015105819	1329951	56	0.00064814417	1329951	51	0.0009752239	1329951	16	0.00054738857	1329951	12	0.00053460617	1329951	27	0.00081581954	1329951	4324	0.22682415	1329951	32	0.00071882346	1329951	27	0.0007940142	1329951	73	0.0015572002	1329951	1	0.00011053039	1329951	61	0.0010902657	1329951	40	0.0011504183	1329951	22540	0.7282156	1329951	1783	0.042218097	1329951	118	0.0022436916	1329951	117	0.0009895101	1329951	42	0.0010143231	1329951	3076	0.055080976	1329951	22	0.0009451476	1329951	2	0.00013007998	1329951	206	0.0018459327	1329951	2860	0.054744873	1329951	211	0.0007819837	1329951	451	0.0029775533	1329951	66	0.0012609487	1329951	134	0.0016113375	1329951	12	0.00047294976	1329951	24	0.00075792265	1329951	39333	0.8908839	1329951	84	0.0013368913	1329951	49	0.0009789835	1329951	1017	0.058653288	1329951
EHA04823_bin.132	13	0.00092482107	1221858	2	0.00014731663	1221858	16397	0.69116545	1221858	444	0.017596971	1221858	60	0.002028059	1221858	271	0.0034635777	1221858	21495	0.77332306	1221858	21004	0.7557163	1221858	10	0.0007414937	1221858	27	0.00096083176	1221858	27	0.00058517436	1221858	2	0.00017350625	1221858	105	0.0011891725	1221858	15542	0.67483455	1221858	124	0.0015713774	1221858	16297	0.69746894	1221858	47	0.0007472227	1221858	95	0.0013184838	1221858	33	0.001320939	1221858	25	0.000782415	1221858	70	0.0026296019	1221858	564	0.016186824	1221858	91	0.0018733764	1221858	18671	0.72198	1221858	292	0.0056880587	1221858	9	0.0005696243	1221858	318	0.005294396	1221858	39	0.0018766501	1221858	54	0.0020386984	1221858	19	0.0017006886	1221858	20841	0.72633564	1221858	71	0.001899566	1221858	175	0.0044399593	1221858	391	0.0047476874	1221858	5	0.00028153844	1221858	59	0.0016016591	1221858	50	0.001013211	1221858	10128	0.46954557	1221858	13551	0.6459245	1221858	317	0.012530098	1221858	173	0.003156668	1221858	27	0.0013029338	1221858	15847	0.68594223	1221858	21	0.000644101	1221858	17	0.00112288	1221858	113	0.0022162967	1221858	16325	0.6959172	1221858	70	0.0006563774	1221858	472	0.004452236	1221858	33	0.00082251785	1221858	160	0.0031419364	1221858	26	0.0005090608	1221858	458	0.005309946	1221858	34812	0.86286134	1221858	49	0.0025469407	1221858	13	0.00042148924	1221858	1896	0.11464098	1221858
