genome,location,length
EHA04749_bin.46.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.46.fa.gz,1497168
EHA04749_bin.51.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.51.fa.gz,868230
EHA04750_bin.18.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.18.fa.gz,3803444
EHA04750_bin.22.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.22.fa.gz,2492337
EHA04750_bin.25.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.25.fa.gz,1561141
EHA04750_bin.29.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.29.fa.gz,2658434
EHA04750_bin.36.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.36.fa.gz,2322313
EHA04750_bin.38.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.38.fa.gz,1612884
EHA04750_bin.40.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.40.fa.gz,991924
EHA04750_bin.41.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.41.fa.gz,1896649
EHA04750_bin.45.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.45.fa.gz,1200356
EHA04815_bin.100.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.100.fa.gz,1316441
EHA04815_bin.101.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.101.fa.gz,2845024
EHA04815_bin.102.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.102.fa.gz,1891158
EHA04815_bin.105.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.105.fa.gz,1840008
EHA04815_bin.108.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.108.fa.gz,1143683
EHA04815_bin.109.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.109.fa.gz,1276119
EHA04815_bin.10.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.10.fa.gz,1580722
EHA04815_bin.110.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.110.fa.gz,2629638
EHA04815_bin.112.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.112.fa.gz,2189721
EHA04815_bin.113.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.113.fa.gz,2127841
EHA04815_bin.114.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.114.fa.gz,737240
EHA04815_bin.115.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.115.fa.gz,2854413
EHA04815_bin.116.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.116.fa.gz,2141435
EHA04815_bin.117.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.117.fa.gz,2626424
EHA04815_bin.118.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.118.fa.gz,2981572
EHA04815_bin.119.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.119.fa.gz,1554541
EHA04815_bin.11.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.11.fa.gz,2111351
EHA04815_bin.120.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.120.fa.gz,574498
EHA04815_bin.121.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.121.fa.gz,2991164
EHA04815_bin.122.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.122.fa.gz,1945831
EHA04815_bin.123.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.123.fa.gz,2128205
EHA04815_bin.128.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.128.fa.gz,1121840
EHA04815_bin.129.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.129.fa.gz,1823159
EHA04815_bin.12.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.12.fa.gz,2207861
EHA04815_bin.130.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.130.fa.gz,1888368
EHA04815_bin.131.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.131.fa.gz,1456926
EHA04815_bin.132.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.132.fa.gz,1408801
EHA04815_bin.133.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.133.fa.gz,1065795
EHA04815_bin.134.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.134.fa.gz,1934227
EHA04815_bin.136.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.136.fa.gz,1734844
EHA04815_bin.138.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.138.fa.gz,1790205
EHA04815_bin.139.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.139.fa.gz,1733296
EHA04815_bin.13.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.13.fa.gz,1883861
EHA04815_bin.140.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.140.fa.gz,1623919
EHA04815_bin.141.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.141.fa.gz,1191276
EHA04815_bin.143.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.143.fa.gz,2061729
EHA04815_bin.144.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.144.fa.gz,1867623
EHA04815_bin.145.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.145.fa.gz,1993124
EHA04815_bin.146.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.146.fa.gz,1459029
EHA04815_bin.147.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.147.fa.gz,1496791
EHA04815_bin.148.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.148.fa.gz,2205190
EHA04815_bin.14.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.14.fa.gz,2121071
EHA04815_bin.150.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.150.fa.gz,1511664
EHA04815_bin.152.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.152.fa.gz,2016742
EHA04815_bin.154.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.154.fa.gz,1009378
EHA04815_bin.155.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.155.fa.gz,1747789
EHA04815_bin.156.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.156.fa.gz,1896138
EHA04815_bin.157.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.157.fa.gz,1753518
EHA04815_bin.158.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.158.fa.gz,2220032
EHA04815_bin.15.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.15.fa.gz,991182
EHA04815_bin.160.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.160.fa.gz,846889
EHA04815_bin.161.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.161.fa.gz,1377211
EHA04815_bin.164.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.164.fa.gz,1810889
EHA04815_bin.166.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.166.fa.gz,1576954
EHA04815_bin.167.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.167.fa.gz,1514805
EHA04815_bin.169.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.169.fa.gz,1413826
EHA04815_bin.16.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.16.fa.gz,2524180
EHA04815_bin.170.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.170.fa.gz,833778
EHA04815_bin.171.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.171.fa.gz,1280103
EHA04815_bin.172.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.172.fa.gz,917977
EHA04815_bin.176.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.176.fa.gz,2655662
EHA04815_bin.177.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.177.fa.gz,1839113
EHA04815_bin.178.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.178.fa.gz,1946065
EHA04815_bin.179.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.179.fa.gz,1985977
EHA04815_bin.181.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.181.fa.gz,1575138
EHA04815_bin.182.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.182.fa.gz,1166535
EHA04815_bin.184.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.184.fa.gz,1382364
EHA04815_bin.188.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.188.fa.gz,1696473
EHA04815_bin.190.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.190.fa.gz,913520
EHA04815_bin.192.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.192.fa.gz,1176526
EHA04815_bin.198.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.198.fa.gz,1266158
EHA04815_bin.19.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.19.fa.gz,4131063
EHA04815_bin.1.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.1.fa.gz,1183631
EHA04815_bin.200.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.200.fa.gz,1300576
EHA04815_bin.201.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.201.fa.gz,796160
EHA04815_bin.211.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.211.fa.gz,1434784
EHA04815_bin.23.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.23.fa.gz,1520385
EHA04815_bin.24.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.24.fa.gz,1594584
EHA04815_bin.26.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.26.fa.gz,3138262
EHA04815_bin.27.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.27.fa.gz,1990065
EHA04815_bin.29.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.29.fa.gz,1261606
EHA04815_bin.31.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.31.fa.gz,2246475
EHA04815_bin.32.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.32.fa.gz,2252891
EHA04815_bin.34.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.34.fa.gz,1569114
EHA04815_bin.35.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.35.fa.gz,1328421
EHA04815_bin.36.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.36.fa.gz,1350808
EHA04815_bin.37.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.37.fa.gz,2570290
EHA04815_bin.39.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.39.fa.gz,1504072
EHA04815_bin.3.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.3.fa.gz,1553796
