genome,completeness,contamination,location,length,N50,centrality
EHA04815_bin.90.fa.gz,99.13,0.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.90.fa.gz,783917.0,5741.0,0.0
EHA04823_bin.19.fa.gz,99.13,1.55,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.19.fa.gz,2412838.0,63949.0,0.0
EHA04815_bin.10.fa.gz,99.09,0.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.10.fa.gz,1580722.0,43972.0,0.0
EHA04815_bin.88.fa.gz,98.92,2.9,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.88.fa.gz,2029030.0,8410.0,0.0
EHA04823_bin.24.fa.gz,98.92,0.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.24.fa.gz,1464645.0,125846.0,0.0
EHA04815_bin.96.fa.gz,98.87,0.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.96.fa.gz,1579733.0,64197.0,0.0
EHA04823_bin.302.fa.gz,98.83,1.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.302.fa.gz,1593389.0,2865.0,0.0
EHA04815_bin.3.fa.gz,98.78,0.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.3.fa.gz,1553796.0,8744.0,0.0
EHA04815_bin.76.fa.gz,98.76,0.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.76.fa.gz,1581750.0,26164.0,0.0
EHA04823_bin.83.fa.gz,98.74,0.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.83.fa.gz,2253342.0,32850.0,0.0
EHA04750_bin.25.fa.gz,98.72,0.97,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.25.fa.gz,1561141.0,2570.0,0.0
EHA04823_bin.65.fa.gz,98.72,0.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.65.fa.gz,1243576.0,2320.0,0.0
EHA04823_bin.168.fa.gz,98.7,2.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.168.fa.gz,838052.0,10117.0,0.0
EHA04748_bin.12.fa.gz,98.65,0.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.12.fa.gz,2279628.0,24271.0,0.0
EHA04748_bin.17.fa.gz,98.64,0.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.17.fa.gz,1225913.0,55726.0,0.0
EHA04815_bin.112.fa.gz,98.62,0.58,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.112.fa.gz,2189721.0,51971.0,0.0
EHA04823_bin.262.fa.gz,98.62,0.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.262.fa.gz,2297732.0,4382.0,0.0
EHA04750_bin.29.fa.gz,98.59,0.57,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.29.fa.gz,2658434.0,14639.0,0.0
EHA04823_bin.274.fa.gz,98.55,0.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.274.fa.gz,3982241.0,60666.0,0.0
EHA04823_bin.275.fa.gz,98.54,2.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.275.fa.gz,1721621.0,60901.0,0.0
EHA04823_bin.205.fa.gz,98.52,0.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.205.fa.gz,1423901.0,14603.0,0.0
EHA04823_bin.245.fa.gz,98.47,0.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.245.fa.gz,1260688.0,24922.0,0.0
EHA04815_bin.83.fa.gz,98.43,0.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.83.fa.gz,2449040.0,5115.0,0.0
EHA04815_bin.36.fa.gz,98.37,2.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.36.fa.gz,1350808.0,5571.0,0.0
EHA04815_bin.32.fa.gz,98.36,0.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.32.fa.gz,2252891.0,27979.0,0.0
EHA04749_bin.45.fa.gz,98.33,0.21,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.45.fa.gz,2585895.0,29891.0,0.0
EHA04747_bin.30.fa.gz,98.31,0.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.30.fa.gz,2257578.0,6975.0,0.0
EHA04823_bin.164.fa.gz,98.3,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.164.fa.gz,2259852.0,52312.0,0.0
EHA04823_bin.160.fa.gz,98.28,0.52,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.160.fa.gz,2475105.0,63131.0,0.0
EHA04746_bin.20.fa.gz,98.25,0.23,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04746_bin.20.fa.gz,2130919.0,44344.0,0.0
EHA04823_bin.91.fa.gz,98.23,2.58,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.91.fa.gz,1361710.0,4228.0,0.0
EHA04823_bin.250.fa.gz,98.18,0.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.250.fa.gz,1886696.0,66536.0,0.0
EHA04823_bin.60.fa.gz,98.06,0.82,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.60.fa.gz,1639416.0,59591.0,0.0
EHA04823_bin.118.fa.gz,98.03,0.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.118.fa.gz,2188031.0,22104.0,0.0
EHA04745_bin.5.fa.gz,97.98,0.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04745_bin.5.fa.gz,2374266.0,30100.0,0.0
EHA04823_bin.226.fa.gz,97.98,0.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.226.fa.gz,1608976.0,31584.0,0.0
EHA04823_bin.120.fa.gz,97.96,1.93,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.120.fa.gz,2190203.0,26234.0,0.0
EHA04823_bin.121.fa.gz,97.89,0.94,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.121.fa.gz,2335228.0,46179.0,0.0
EHA04823_bin.35.fa.gz,97.87,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.35.fa.gz,1753023.0,4901.0,0.0
EHA04823_bin.88.fa.gz,97.82,2.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.88.fa.gz,2063241.0,4532.0,0.0
EHA04743_bin.36.fa.gz,97.76,0.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04743_bin.36.fa.gz,1865795.0,229987.0,0.0
EHA04815_bin.5.fa.gz,97.76,2.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.5.fa.gz,1991842.0,23612.0,0.0
EHA04823_bin.57.fa.gz,97.73,0.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.57.fa.gz,2184833.0,100387.0,0.0
EHA04823_bin.267.fa.gz,97.7,0.74,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.267.fa.gz,1344159.0,12430.0,0.0
EHA04823_bin.122.fa.gz,97.54,0.53,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.122.fa.gz,2195132.0,19481.0,0.0
EHA04823_bin.169.fa.gz,97.52,5.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.169.fa.gz,853578.0,5580.0,0.0
EHA04823_bin.228.fa.gz,97.51,1.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.228.fa.gz,1437554.0,55774.0,0.0
EHA04823_bin.261.fa.gz,97.49,1.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.261.fa.gz,1861634.0,40745.0,0.0
EHA04823_bin.152.fa.gz,97.47,1.48,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.152.fa.gz,2293744.0,5081.0,0.0
EHA04823_bin.204.fa.gz,97.46,0.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.204.fa.gz,1444943.0,136725.0,0.0
EHA04815_bin.148.fa.gz,97.44,0.48,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.148.fa.gz,2205190.0,41855.0,0.0
EHA04823_bin.8.fa.gz,97.34,0.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.8.fa.gz,1564359.0,7156.0,0.0
EHA04815_bin.70.fa.gz,97.32,4.43,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.70.fa.gz,2051016.0,4247.0,0.0
EHA04823_bin.214.fa.gz,97.32,2.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.214.fa.gz,2206743.0,81024.0,0.0
EHA04823_bin.82.fa.gz,97.31,3.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.82.fa.gz,2103292.0,66813.0,0.0
EHA04815_bin.29.fa.gz,97.29,0.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.29.fa.gz,1261606.0,3456.0,0.0
EHA04815_bin.113.fa.gz,97.23,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.113.fa.gz,2127841.0,56995.0,0.0
EHA04823_bin.264.fa.gz,97.22,1.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.264.fa.gz,1653379.0,42077.0,0.0
EHA04823_bin.216.fa.gz,97.21,0.83,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.216.fa.gz,900178.0,15652.0,0.0
EHA04747_bin.2.fa.gz,97.17,0.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.2.fa.gz,2560591.0,9019.0,0.0
EHA04823_bin.113.fa.gz,97.15,0.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.113.fa.gz,795957.0,15522.0,0.0
EHA04823_bin.203.fa.gz,97.15,0.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.203.fa.gz,1448135.0,49600.0,0.0
EHA04815_bin.9.fa.gz,97.08,3.41,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.9.fa.gz,2525482.0,18521.0,0.0
EHA04823_bin.53.fa.gz,97.03,1.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.53.fa.gz,1956402.0,41707.0,0.0
EHA04815_bin.147.fa.gz,96.98,1.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.147.fa.gz,1496791.0,39629.0,0.0
EHA04823_bin.249.fa.gz,96.96,0.31,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.249.fa.gz,1315244.0,12074.0,0.0
EHA04823_bin.58.fa.gz,96.94,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.58.fa.gz,1288625.0,3312.0,0.0
EHA04823_bin.254.fa.gz,96.91,2.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.254.fa.gz,2962250.0,13297.0,0.0
EHA04823_bin.55.fa.gz,96.91,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.55.fa.gz,2148994.0,4616.0,0.0
EHA04823_bin.102.fa.gz,96.89,4.83,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.102.fa.gz,1938724.0,51396.0,0.0
EHA04823_bin.212.fa.gz,96.87,2.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.212.fa.gz,3958042.0,72539.0,0.0
EHA04823_bin.47.fa.gz,96.82,2.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.47.fa.gz,1658139.0,2391.0,0.0
EHA04744_bin.6.fa.gz,96.81,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.6.fa.gz,1006515.0,4065.0,0.0
EHA04823_bin.146.fa.gz,96.81,1.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.146.fa.gz,1968605.0,7325.0,0.0
EHA04750_bin.22.fa.gz,96.8,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.22.fa.gz,2492337.0,18583.0,0.0
EHA04823_bin.225.fa.gz,96.8,0.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.225.fa.gz,2444235.0,13350.0,0.0
EHA04815_bin.211.fa.gz,96.78,0.35,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.211.fa.gz,1434784.0,2422.0,0.0
EHA04823_bin.208.fa.gz,96.77,3.4,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.208.fa.gz,1735548.0,54130.0,0.0
EHA04815_bin.56.fa.gz,96.75,0.17,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.56.fa.gz,1743562.0,4923.0,0.0
EHA04823_bin.271.fa.gz,96.72,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.271.fa.gz,1227948.0,72816.0,0.0
EHA04748_bin.25.fa.gz,96.7,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.25.fa.gz,1717228.0,96190.0,0.0
EHA04815_bin.71.fa.gz,96.61,1.69,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.71.fa.gz,879439.0,2678.0,0.0
EHA04815_bin.146.fa.gz,96.59,0.31,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.146.fa.gz,1459029.0,33582.0,0.0
EHA04815_bin.11.fa.gz,96.56,4.15,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.11.fa.gz,2111351.0,81848.0,0.0
EHA04823_bin.206.fa.gz,96.56,0.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.206.fa.gz,2116818.0,52963.0,0.0
EHA04815_bin.101.fa.gz,96.55,0.34,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.101.fa.gz,2845024.0,79722.0,0.0
EHA04823_bin.246.fa.gz,96.54,0.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.246.fa.gz,1133243.0,25313.0,0.0
EHA04823_bin.191.fa.gz,96.52,0.17,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.191.fa.gz,681464.0,4971.0,0.0
EHA04823_bin.100.fa.gz,96.51,5.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.100.fa.gz,2490491.0,11460.0,0.0
EHA04823_bin.94.fa.gz,96.49,2.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.94.fa.gz,1748312.0,3085.0,0.0
EHA04815_bin.15.fa.gz,96.35,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.15.fa.gz,991182.0,68482.0,0.0
EHA04743_bin.3.fa.gz,96.31,0.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04743_bin.3.fa.gz,1691914.0,32456.0,0.0
EHA04823_bin.23.fa.gz,96.31,0.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.23.fa.gz,1558838.0,13536.0,0.0
EHA04823_bin.213.fa.gz,96.3,3.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.213.fa.gz,2140772.0,28472.0,0.0
EHA04815_bin.119.fa.gz,96.17,2.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.119.fa.gz,1554541.0,15392.0,0.0
EHA04823_bin.27.fa.gz,96.17,0.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.27.fa.gz,1231028.0,5120.0,0.0
EHA04815_bin.118.fa.gz,96.1,0.53,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.118.fa.gz,2981572.0,36188.0,0.985004
EHA04744_bin.40.fa.gz,96.03,0.31,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.40.fa.gz,2668425.0,6501.0,0.0
EHA04815_bin.121.fa.gz,95.92,1.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.121.fa.gz,2991164.0,34853.0,0.0
EHA04815_bin.85.fa.gz,95.89,0.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.85.fa.gz,1257731.0,3181.0,0.0
EHA04823_bin.63.fa.gz,95.87,0.96,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.63.fa.gz,1602498.0,6519.0,0.0
EHA04815_bin.114.fa.gz,95.84,1.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.114.fa.gz,737240.0,45820.0,0.0
EHA04823_bin.123.fa.gz,95.81,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.123.fa.gz,1195216.0,2728.0,0.0
EHA04823_bin.252.fa.gz,95.79,1.94,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.252.fa.gz,2803949.0,43191.0,0.0
EHA04823_bin.109.fa.gz,95.75,2.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.109.fa.gz,1550222.0,12426.0,0.0
EHA04823_bin.111.fa.gz,95.75,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.111.fa.gz,2277256.0,23365.0,0.0
EHA04815_bin.120.fa.gz,95.69,0.95,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.120.fa.gz,574498.0,31098.0,0.0
EHA04815_bin.133.fa.gz,95.69,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.133.fa.gz,1065795.0,78097.0,0.0
EHA04823_bin.186.fa.gz,95.65,1.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.186.fa.gz,1020199.0,69653.0,0.0
EHA04823_bin.42.fa.gz,95.65,0.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.42.fa.gz,901222.0,2529.0,0.0
EHA04823_bin.278.fa.gz,95.59,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.278.fa.gz,2634295.0,4881.0,0.983055
EHA04823_bin.253.fa.gz,95.56,0.57,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.253.fa.gz,1890105.0,95930.0,0.0
