ID,mag_name,link_to_assembly,GTDB_version,domain,phylum,class,order,family,genus,species,host_species,closest_placement_ani,completeness,contamination,size,GC,N50,contigs,number_genes,cazy_hits,pfam_hits,kegg_hits,number_unannotated_genes,percent_unannotated_genes,DM_batch,closest_placement_af,fastani_ani,MAG_url,AB_batch,taxonomy_level,DM_batch 2,sample_type,anno_url,gbk_url,kegg_url,annotated,dereplicated,coding_density,host_order,host_class,percent_unannotated_kegg
EHM067199,EHA04749_bin.1.fa,EHA04749,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-382,g__UBA1206,s__,Vombatus ursinus,0,90.69,1.03,1481561,43.00%,5164,337,1408,28,1015,615,371,26.3,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04749_bin.1.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067199_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067199.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067199_kegg.tsv.gz,TRUE,DMB0166,0.91,Diprotodontia,Mammalia,56.3
EHM068962,EHA04815_bin.14.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__SIG598,s__,Vombatus ursinus,0,90.49,3.13,2121071,50.00%,13174,228,2025,45,1555,908,440,21.7,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.14.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068962_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068962.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068962_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,55.2
EHM068978,EHA04815_bin.154.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__UBA6448,s__,Vombatus ursinus,0,90.12,0.9,1009378,27.00%,23154,54,1066,14,705,469,345,32.4,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.154.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068978_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068978.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068978_kegg.tsv.gz,TRUE,DMB0166,0.91,Diprotodontia,Mammalia,56
EHM067323,EHA04748_bin.40.fa,EHA04748,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA4334,s__,Vombatus ursinus,77.34,90.1,0.01,2163852,58.00%,45170,107,1678,105,1344,836,313,18.7,DMB0166,0.13,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04748_bin.40.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067323_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067323.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067323_kegg.tsv.gz,TRUE,DMB0166,0.88,Diprotodontia,Mammalia,50.2
EHM069084,EHA04815_bin.66.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA1227,s__,Vombatus ursinus,78.08,89.8,1.56,2638115,52.00%,23133,183,1425,21,1123,733,278,19.5,DMB0166,0.16,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.66.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069084_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069084.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069084_kegg.tsv.gz,TRUE,DMB0166,0.92,Diprotodontia,Mammalia,48.6
EHM069088,EHA04815_bin.7.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,Vombatus ursinus,0,89.8,3.98,1582238,42.00%,8111,286,1487,72,1125,586,342,23,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.7.fa.gz,ABB0581,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069088_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069088.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069088_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,60.6
EHM068944,EHA04815_bin.123.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__RUG678,s__,Vombatus ursinus,76.51,88.93,1.91,2128205,47.00%,30089,121,1977,30,1613,1009,338,17.1,DMB0166,0.12,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.123.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068944_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068944.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068944_kegg.tsv.gz,TRUE,DMB0166,0.88,Diprotodontia,Mammalia,49
EHM069040,EHA04815_bin.23.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Onthomonas,s__,Vombatus ursinus,0,88.71,0.61,5604684,42.00%,10645,704,1373,32,1091,600,265,19.3,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.23.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069040_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069040.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069040_kegg.tsv.gz,TRUE,DMB0166,0.91,Diprotodontia,Mammalia,56.3
EHM069112,EHA04815_bin.91.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__RUG11247,s__,Vombatus ursinus,77.74,87.9,2.72,2029030,51.00%,8410,332,992,36,795,431,176,17.7,DMB0166,0.26,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.91.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069112_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069112.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069112_kegg.tsv.gz,TRUE,DMB0166,0.87,Diprotodontia,Mammalia,56.6
EHM069059,EHA04815_bin.42.fa,EHA04815,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__W0P28-013,s__,Vombatus ursinus,77.77,87.62,1.13,2184581,51.00%,5785,457,1307,46,965,568,325,24.9,DMB0166,0.25,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.42.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069059_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069059.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069059_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,56.5
EHM067031,EHA04747_bin.49.fa,EHA04747,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,Vombatus ursinus,77.22,87.12,9.74,1619120,30.00%,14792,221,723,51,590,367,120,16.6,DMB0166,0.07,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04747_bin.49.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067031_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067031.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067031_kegg.tsv.gz,TRUE,DMB0166,0.91,Diprotodontia,Mammalia,49.2
EHM067186,EHA04750_bin.40.fa,EHA04750,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__RGIG9670,s__,Vombatus ursinus,0,87.08,0.18,2646470,32.00%,38959,124,893,17,609,377,266,29.8,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04750_bin.40.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067186_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067186.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067186_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,57.8
EHM068951,EHA04815_bin.13.fa,EHA04815,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__SIG42,s__,Vombatus ursinus,0,86.69,1.97,1883861,56.00%,5932,415,1500,13,1181,679,302,20.1,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.13.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068951_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068951.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068951_kegg.tsv.gz,TRUE,DMB0166,0.87,Diprotodontia,Mammalia,54.7
EHM069063,EHA04815_bin.46.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,Vombatus ursinus,0,86.67,0.07,2362997,54.00%,35378,118,2441,89,1965,1264,436,17.9,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.46.fa.gz,ABB0581,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069063_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069063.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069063_kegg.tsv.gz,TRUE,DMB0166,0.92,Diprotodontia,Mammalia,48.2
EHM069061,EHA04815_bin.44.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__SIG598,s__,Vombatus ursinus,0,86.37,2.69,1871995,39.00%,5278,429,2056,78,1573,879,450,21.9,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.44.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069061_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069061.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069061_kegg.tsv.gz,TRUE,DMB0166,0.93,Diprotodontia,Mammalia,57.2
EHM068993,EHA04815_bin.169.fa,EHA04815,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,Vombatus ursinus,78.1,86.13,3.45,2056548,53.00%,13050,239,1181,92,936,563,220,18.6,DMB0166,0.23,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.169.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068993_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068993.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068993_kegg.tsv.gz,TRUE,DMB0166,0.94,Diprotodontia,Mammalia,52.3
EHM069079,EHA04815_bin.61.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__RGIG2206,s__,Vombatus ursinus,78.72,86.08,0.02,1729739,41.00%,44587,66,1613,86,1305,830,289,17.9,DMB0166,0.24,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.61.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069079_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069079.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069079_kegg.tsv.gz,TRUE,DMB0166,0.94,Diprotodontia,Mammalia,48.5
EHM068991,EHA04815_bin.167.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__UBA738,s__UBA738 sp018065965,Vombatus ursinus,97.84,85.3,0.06,1576954,46.00%,63021,54,1472,20,1214,763,229,15.6,DMB0166,0.75,97.84,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.167.fa.gz,ABB0581,Species,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068991_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068991.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068991_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,48.2
EHM069064,EHA04815_bin.48.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__CAG-390,s__,Vombatus ursinus,0,85.12,1.78,2187751,52.00%,11486,257,1618,39,1191,664,399,24.7,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.48.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069064_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069064.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069064_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,59
EHM069115,EHA04815_bin.94.fa,EHA04815,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Coprenecus,s__,Vombatus ursinus,0,84.7,0.46,783917,39.00%,5741,161,684,18,551,316,120,17.5,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.94.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069115_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069115.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069115_kegg.tsv.gz,TRUE,DMB0166,0.92,Diprotodontia,Mammalia,53.8
EHM068989,EHA04815_bin.164.fa,EHA04815,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA2918,s__,Vombatus ursinus,0,84.63,0.09,1810889,60.00%,34334,92,1487,70,1295,820,176,11.8,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.164.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068989_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068989.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068989_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,44.9
EHM067183,EHA04750_bin.38.fa,EHA04750,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__ER4,s__,Vombatus ursinus,81.75,84.54,1.23,2768378,57.00%,7203,473,1293,15,1030,622,242,18.7,DMB0166,0.52,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04750_bin.38.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067183_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067183.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067183_kegg.tsv.gz,TRUE,DMB0166,0.88,Diprotodontia,Mammalia,51.9
EHM067187,EHA04750_bin.41.fa,EHA04750,2.3.0,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellia,o__RFP12,f__UBA1067,g__RUG572,s__,Vombatus ursinus,78.84,84.53,0.38,991924,32.00%,10893,141,1521,114,1152,642,329,21.6,DMB0166,0.36,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04750_bin.41.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067187_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067187.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067187_kegg.tsv.gz,TRUE,DMB0166,0.92,Diprotodontia,Mammalia,57.8
EHM069016,EHA04815_bin.19.fa,EHA04815,2.3.0,d__Bacteria,p__Planctomycetota,c__Planctomycetia,o__Pirellulales,f__Thermoguttaceae,g__RUG369,s__,Vombatus ursinus,0,83.27,0,897938,31.00%,25939,46,2760,167,1912,1042,804,29.1,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.19.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069016_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069016.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069016_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,62.2
EHM069074,EHA04815_bin.57.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Vescimonas,s__,Vombatus ursinus,0,83.1,1.89,1600032,52.00%,12907,182,632,10,450,251,170,26.9,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.57.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069074_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069074.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069074_kegg.tsv.gz,TRUE,DMB0166,0.91,Diprotodontia,Mammalia,60.3
EHM069100,EHA04815_bin.80.fa,EHA04815,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,Vombatus ursinus,0,83.03,2.3,1681288,42.00%,9482,236,1321,59,1092,709,207,15.7,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.80.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069100_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069100.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069100_kegg.tsv.gz,TRUE,DMB0166,0.93,Diprotodontia,Mammalia,46.3
EHM068930,EHA04815_bin.110.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__UMGS1696,s__,Vombatus ursinus,77.8,82.18,0.49,2629638,43.00%,11265,324,2370,140,1690,903,637,26.9,DMB0166,0.16,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.110.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068930_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068930.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068930_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,61.9
EHM069062,EHA04815_bin.45.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__UBA2658,s__,Vombatus ursinus,81.58,82.08,1.56,1536713,43.00%,6804,297,1244,27,1005,595,219,17.6,DMB0166,0.73,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.45.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069062_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069062.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069062_kegg.tsv.gz,TRUE,DMB0166,0.92,Diprotodontia,Mammalia,52.2
EHM069010,EHA04815_bin.184.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__RGIG8767,s__,Vombatus ursinus,0,81.89,0.94,3200881,39.00%,26356,209,1418,71,1076,630,326,23,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.184.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069010_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069010.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069010_kegg.tsv.gz,TRUE,DMB0166,0.87,Diprotodontia,Mammalia,55.6
EHM069058,EHA04815_bin.41.fa,EHA04815,2.3.0,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__UBA1784,s__,Vombatus ursinus,0,81.41,0.64,1504072,43.00%,6981,272,1585,86,1134,631,421,26.6,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.41.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069058_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069058.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069058_kegg.tsv.gz,TRUE,DMB0166,0.93,Diprotodontia,Mammalia,60.2
EHM068982,EHA04815_bin.158.fa,EHA04815,2.3.0,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__,Vombatus ursinus,0,81.4,0.55,2220032,59.00%,18742,213,1957,25,1287,884,635,32.4,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.158.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068982_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068982.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068982_kegg.tsv.gz,TRUE,DMB0166,0.83,Diprotodontia,Mammalia,54.8
EHM067022,EHA04747_bin.4.fa,EHA04747,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__,s__,Vombatus ursinus,0,81.08,0,1979918,58.00%,41598,74,585,21,459,262,118,20.2,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04747_bin.4.fa.gz,ABB0566,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067022_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067022.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067022_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,55.2
EHM068981,EHA04815_bin.157.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__RGIG7114,s__,Vombatus ursinus,78.41,80.87,0.36,1753518,54.00%,46854,46,1616,27,1304,829,282,17.5,DMB0166,0.26,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.157.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068981_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068981.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068981_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,48.7
EHM069072,EHA04815_bin.55.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__Flemingibacterium,s__,Vombatus ursinus,78.47,80.63,2.39,1781109,50.00%,12465,211,2243,100,1727,1009,488,21.8,DMB0166,0.26,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.55.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069072_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069072.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069072_kegg.tsv.gz,TRUE,DMB0166,0.92,Diprotodontia,Mammalia,55
EHM067333,EHA04748_bin.50.fa,EHA04748,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__ER4,s__,Vombatus ursinus,81.75,80.13,5.09,1432688,56.00%,3055,489,1093,8,862,517,219,20,DMB0166,0.59,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04748_bin.50.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067333_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067333.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067333_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,52.7
